,,,octal,binary,,,,,,,,,,,,,,,,,
,,,,,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
1,,,,,OP code,,,,,X,I,B,displacement ∆,,,,,,,,displacement = 0 to 255
63,,BANC,177000,1111111000000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,
64,,BORC,177400,1111111100000000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,
65,,BAND,177200,1111111010000000,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,,
66,,BORA,177600,1111111110000000,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,
67,,,,,,,,,,condition,,,displacement,,,,,,,,
68,,JMP,124000,1010100000000000,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,
69,,JPL,134000,1011100000000000,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,
70,,JAP,130000,1011000000000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,
71,,JAN,130400,1011000100000000,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,
72,,JAZ,131000,1011001000000000,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,
73,,JAF,131400,1011001100000000,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,
74,,JXN,133400,1011011100000000,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,,
75,,JPC,132000,1011010000000000,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,
76,,JNC,132400,1011010100000000,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,
77,,,,,,,,,,condition,,,,source,,,,destination,,,
78,,SKP,140000,1100000000000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,,,,,,,,,,,,,,,counter,,,,,,
80,Shift T,SHT,154000,1101100000000000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
81,Shift D,SHD,154200,1101100010000000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
82,Shift A,SHA,155500,1101101101000000,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,,
83,Shift AD,SAD,154600,1101100110000000,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,,
84,Rotational shift,ROT,001000,0000001000000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
85,Zero in shift,ZIN,002000,0000010000000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
86,Linked end input,LIN,003000,0000011000000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,
87,Shift Right,SHR,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
88,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
89,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
90,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
91,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
93,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
94,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
95,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
96,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
97,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
98,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
99,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
100,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
101,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
102,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
103,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
104,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
105,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
106,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
108,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
109,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
110,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
111,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
112,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
113,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
114,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
115,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
116,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
117,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
118,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
119,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
120,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
121,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
122,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
123,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
124,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
125,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
126,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
127,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
128,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
129,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
130,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
131,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
132,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
133,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
134,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
135,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
136,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
137,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
138,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
139,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
140,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
141,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
142,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
143,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
144,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
145,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
146,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
147,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
148,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
149,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
150,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
151,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
152,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
153,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
154,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
155,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
156,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
157,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
158,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
159,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
160,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
161,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
162,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
163,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
164,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
165,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
166,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
167,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
168,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
169,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
170,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
171,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
172,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
173,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
174,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
175,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
176,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
177,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
178,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
179,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
180,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
181,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
182,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
183,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
184,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
185,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
186,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
187,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
188,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
190,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
191,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
192,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
193,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
194,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
195,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
196,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
197,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
198,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
199,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
200,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
201,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
202,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
203,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
204,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
205,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
206,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
207,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
208,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
209,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
210,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
211,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
212,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
213,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
214,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
215,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
216,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
217,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
218,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
219,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
220,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
221,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
222,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
223,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
224,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
225,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
226,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
227,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
228,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
229,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
230,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
231,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
232,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
233,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
234,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
235,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
236,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
237,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
238,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
239,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
240,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
241,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
242,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
243,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
244,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
245,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
246,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
247,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
248,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
249,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
250,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
251,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
252,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
253,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
254,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
255,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
256,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
257,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
258,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
259,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
260,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
261,,,,0000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
